FI;GRP;RS;FI_ET;RS_ET;BOR;AN
740781893;02;CH DE REIGNIER;740000401;MAIS DÉPT ET CTRE LONG SÉJOUR REIGNIER;ST;2013
740785035;02;EPSM DE LA VALLÉE DE L'ARVE;740000583;EPSM DE LA VALLÉE D'ARVE;ST;2013
740790258;02;CENTRE HOSPITALIER ALPES LÉMAN;740781141;CENTRE HOSPITALIER ALPES-LEMAN;ST;2013
740790381;02;CHI LES HOPITAUX DU LEMAN;740000328;HOPITAL GEORGES PIANTA;ST;2013
740790381;02;CHI LES HOPITAUX DU LEMAN;740788070;USLD LA LUMIÈRE DU LAC THONON;ST;2013
750000655;06;SAS CLINIQUE DE L'ALMA;750829053;UNITÉ D'AUTODIALYSE SAS CLINIQUE ALMA;ST;2013
750000960;06;SAS CLINIQUE INTER. DU PARC MONCEAU;750040297;UNITE D'AUTODIALYSE;ST;2013
750034308;02;C.H DE MAISON BLANCHE;750023749;UNITE HOSP HAUTEVILLE MAISON BLANCHE;ST;2013
750034308;02;C.H DE MAISON BLANCHE;930815501;LONG SEJOUR LA ROSERAIE MAISON BLANCHE;ST;2013
750110025;02;CHNO DES QUINZE-VINGT PARIS;750000481;CHNO DES QUINZE-VINGTS PARIS;ST;2013
750140014;02;CENTRE HOSPITALIER SAINTE-ANNE;750000499;CENTRE HOSPITALIER STE-ANNE;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;600100101;GROUPE HOSPITALIER PAUL DOUMER;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;620100016;GROUPE HOSPITALIER HÔPITAUX UNIVERSITAIRE PARIS-ILE-DE-FRANCE OUEST;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;640790150;HOPITAL MARIN DE HENDAYE;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750041543;HOPITAL  BRETONNEAU ( AP-HP );ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100018;HOPITAL HOTEL-DIEU (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100042;GPE HOSP LARIBOISIERE-FERNAND WIDAL;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100075;HOPITAL SAINT-LOUIS (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100083;HOPITAL ROTHSCHILD (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100091;HOPITAL SAINT-ANTOINE (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100109;GPE HOSP ARMAND TROUSSEAU-ROCHE GUYON;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100125;GROUPE HOSP. PITIE-SALPETRIERE (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100166;GPE HOSP COCHIN-SAINT VINCENT DE PAUL;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100208;HOPITAL NECKER ENFANTS MALADES (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100216;HOPITAL VAUGIRARD (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100232;G.I.H. BICHAT / CLAUDE BERNARD (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100273;HOPITAL TENON (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750100299;GROUPE HOSPITALIER HÔPITAUX UNIVERSITAIRES PARIS-ILE-DE-FRANCE OUEST;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750801441;HOPITAL BROCA (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750803447;GPE HOSP BROUSSAIS-HEGP;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750803454;HOPITAL ROBERT DEBRE (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;750806226;HOSPITALISATION A DOMICILE AP-HP;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;830100012;HOPITAL SAN SALVADOUR;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;910100015;HOPITAL CLEMENCEAU (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;910100023;JOFFRE-DUPUYTREN GPT HOSP;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;920100013;GROUPE HOSPITALIER HÔPITAUX UNIVERSITAIRES PARIS-ILE-DE-FRANCE OUEST;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;920100021;HOPITAL ANTOINE BECLERE (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;920100039;HOPITAL BEAUJON (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;920100047;HOPITAL LOUIS MOURIER (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;920100054;GROUPE HOSPITALIER HOPITAUX UNIVERSITAIRES PARIS-ILE-DE-FRANCE OUEST;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;920100062;HOPITAL CORENTIN CELTON (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;930100011;HOPITAL RENE MURET (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;930100037;HOPITAL AVICENNE (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;930100045;HOPITAL JEAN VERDIER (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;940100027;GPE HOSP HENRI MONDOR-ALBERT CHENEVIER;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;940100035;CHARLES-FOIX - JEAN-ROSTAND GHU EST;ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;940100043;HOPITAL BICETRE (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;940100050;HOPITAL EMILE ROUX (AP-HP);ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;940100068;HOPITAL PAUL BROUSSE (AP-HP );ST;2013
750712184;02;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;950100016;HOPITAL CHARLES RICHET (AP-HP);ST;2013
750806853;06;AURA;750000184;UNITE D'AUTODIALYSE AURA PELLEPORT;ST;2013
750806853;06;AURA;750009318;UNITE AUTODIALYSE AURA;ST;2013
750806853;06;AURA;750150302;CTRE D'HEMODIALYSE H. KUNTZIGER;ST;2013
750806853;06;AURA;750200024;AURA - UNITE D'HEMODIALYSE;ST;2013
750806853;06;AURA;750828618;AURA - UNITE D'AUTODIALYSE;ST;2013
750806853;06;AURA;770016160;UNITE D'AUTODIALYSE AURA;ST;2013
750806853;06;AURA;770803708;UNITE D'AUTODIALYSE AURA;ST;2013
750806853;06;AURA;780826145;UNITE D'AUTODIALYSE (AURA);ST;2013
750806853;06;AURA;910000090;UNITE D'AUTODIALYSE AURA;ST;2013
750806853;06;AURA;910814144;UNITE D'AUTODIALYSE AURA;ST;2013
750806853;06;AURA;920025210;UNITE D'AUTODIALYSE AURA;ST;2013
750806853;06;AURA;930813910;AURA UNITE D'AUTODIALYSE;ST;2013
750806853;06;AURA;930815618;CENTRE DE DIALYSE & AUTODIALYSE AURA;ST;2013
750806853;06;AURA;950808949;UNITE D'AUTODIALYSE (A.U.R.A);ST;2013
750813032;02;INSTITUTION NATIONALE DES INVALIDES;750808578;INSTITUTION NATIONALE DES INVALIDES;ST;2013
750813321;08;FONDATION CURIE;750160012;INSTITUT CURIE;ST;2013
750813321;08;FONDATION CURIE;910813732;CENTRE DE PROTONTHERAPIE ORSAY;ST;2013
750813321;08;FONDATION CURIE;920000460;INSTITUT CURIE-CENTRE RENE HUGUENIN;ST;2013
750821092;02;SERVICE DE SANTE DES ARMEES;130786742;HIA LAVERAN;ST;2013
750821092;02;SERVICE DE SANTE DES ARMEES;290000728;HIA CLERMONT-TONNERRE;ST;2013
750821092;02;SERVICE DE SANTE DES ARMEES;330781303;HIA ROBERT PICQUE;ST;2013
750821092;02;SERVICE DE SANTE DES ARMEES;570000596;HIA LEGOUEST;ST;2013
750821092;02;SERVICE DE SANTE DES ARMEES;690780093;HIA DESGENETTES;ST;2013
750821092;02;SERVICE DE SANTE DES ARMEES;750120016;HIA DU  VAL-DE-GRACE;ST;2013
750821092;02;SERVICE DE SANTE DES ARMEES;830100574;HIA SAINTE ANNE;ST;2013
750821092;02;SERVICE DE SANTE DES ARMEES;920120011;HIA PERCY;ST;2013
750821092;02;SERVICE DE SANTE DES ARMEES;940120017;HIA BEGIN;ST;2013
750831059;06;DIAVERUM PARIS;750047318;DIAVERUM PARIS SAINT MAUR;ST;2013
750831059;06;DIAVERUM PARIS;750831067;DIAVERUM PARIS MONT LOUIS;ST;2013
750831059;06;DIAVERUM PARIS;920022605;DIAVERUM LEVALLOIS;ST;2013
760012039;08;SCM GRH;760028985;CENTRE GUILLAUME LE CONQUERANT SCM GRH;ST;2013
760024042;02;CHI ELBEUF-LOUVIERS VAL DE REUIL;270000391;EHPAD LOUVIERS CHI ELBEUF;ST;2013
760024042;02;CHI ELBEUF-LOUVIERS VAL DE REUIL;270003924;CENTRE SSR MARTOT CHI ELBEUF;ST;2013
760024042;02;CHI ELBEUF-LOUVIERS VAL DE REUIL;760000463;CH LES FEUGRAIS CHI ELBEUF;ST;2013
760780023;02;CH DIEPPE;760000018;CH DIEPPE;ST;2013
760780023;02;CH DIEPPE;760026252;ANTENNE DE SMUR EU CH DIEPPE;ST;2013
760780023;02;CH DIEPPE;760800938;HOPITAL CHATEAU MICHEL CH DIEPPE;ST;2013
760780031;02;HL SAINT-VALERY-EN-CAUX;760000026;CENTRE HOSPITALIER SAINT-VALERY-EN-CAUX;ST;2013
760780049;02;HL GOURNAY-EN-BRAY;760000034;HL GOURNAY-EN-BRAY;ST;2013
760780056;02;CH EU;760000042;CH EU;ST;2013
760780064;02;CH NEUFCHATEL-EN-BRAY;760000059;CH NEUFCHATEL-EN-BRAY;ST;2013
760780213;02;CH HOPITAL PASTEUR VALLERY RADOT;760000133;CH HOPITAL PASTEUR VALLERY RADOT;ST;2013
760780239;02;CHU ROUEN;760000141;HOPITAL SAINT JULIEN CHU ROUEN;ST;2013
760780239;02;CHU ROUEN;760000158;HOPITAL CHARLES NICOLLE CHU ROUEN;ST;2013
760780239;02;CHU ROUEN;760023671;USLD ARCADIE BOUCICAUT CHU ROUEN;ST;2013
760780239;02;CHU ROUEN;760783522;HOPITAL DE BOIS-GUILLAUME CHU ROUEN;ST;2013
760780239;02;CHU ROUEN;760783530;HOPITAL DE OISSEL CHU ROUEN;ST;2013
760780247;08;CRLCC HENRI BECQUEREL ROUEN;760000166;CRLCC HENRI BECQUEREL ROUEN;ST;2013
760780254;02;HL YVETOT;760000174;HL YVETOT;ST;2013
760780262;02;CH DU BELVEDERE MONT-SAINT-AIGNAN;760000182;CH DU BELVEDERE MONT-SAINT-AIGNAN;ST;2013
760780270;02;CHS DU ROUVRAY SOTTEVILLE-LES-ROUEN;760000190;CHS DU ROUVRAY SOTTEVILLE-LES-ROUEN;ST;2013
760780726;02;CH LE HAVRE;760000356;HOPITAL GUSTAVE FLAUBERT CH LE HAVRE;ST;2013
760780726;02;CH LE HAVRE;760781070;CENTRE PIERRE JANET CH LE HAVRE;ST;2013
760780726;02;CH LE HAVRE;760805770;HOPITAL JACQUES MONOD CH LE HAVRE;ST;2013
760780734;02;CHI DU PAYS DES HAUTES FALAISES;760000364;CHI DU PAYS DES HAUTES FALAISES FECAMP;ST;2013
760780734;02;CHI DU PAYS DES HAUTES FALAISES;760806950;USLD LAMOUR MANIQUERVILLE CHI FECAMP;ST;2013
760780742;02;CHI CAUX VALLEE DE SEINE;760000372;CH LILLEBONNE CHI CAUX VALLEE DE SEINE;ST;2013
760780742;02;CHI CAUX VALLEE DE SEINE;760000398;HL BOLBEC CHI CAUX VALLEE DE SEINE;ST;2013
760780759;02;HL SAINT-ROMAIN-DE-COLBOSC;760000380;CH SAINT-ROMAIN-DE-COLBOSC;ST;2013
760782227;02;CH DURECU LAVOISIER DARNETAL;760000620;CENTRE SSR PA CH DARNETAL;ST;2013
760782425;02;CH DU BOIS PETIT SOTTEVILLE LES ROUEN;760000802;CENTRE SSR PA CH SOTTEVILLE/ROUEN;ST;2013
760921429;08;SCM CENTRE FREDERIC JOLIOT;760028993;CENTRE FREDERIC JOLIOT;ST;2013
770016137;06;DIAVERUM MONTEREAU EX:SODETIR;770016087;CENTRE D'HEMODIALYSE DE MONTEREAU;ST;2013
770110013;02;C.H. ARBELTIER DE COULOMMIERS;770000131;CENTRE HOSPITALIER DE COULOMMIERS;ST;2013
770110021;02;CENTRE HOSP. DE FONTAINEBLEAU;770000149;CENTRE HOSPITALIER DE FONTAINEBLEAU;ST;2013
770110054;02;CENTRE HOSPITALIER MARC JACQUET  MELUN;770000156;CENTRE HOSPITALIER M JACQUET MELUN;ST;2013
770110062;02;CENTRE HOSPITALIER DE MONTEREAU;770000164;CENTRE HOSPITALIER DE MONTEREAU;ST;2013
770110070;02;CENTRE HOSPITALIER LEON BINET PROVINS;770000172;CTRE.HOSPITALIER LEON BINET DE PROVINS;ST;2013
770130011;02;HOPITAL LOCAL DE BRIE-COMTE-ROBERT;770000180;HOP. LOCAL DE BRIE-COMTE-ROBERT;ST;2013
770130037;02;CENTRE HOSPITALIER DE JOUARRE;770813814;USLD CENTRE HOPITALIER DE JOUARRE;ST;2013
770130052;02;CENTRE HOSPITALIER DE NEMOURS;770000214;CENTRE HOSPITALIER DE NEMOURS;ST;2013
770170017;02;CENTRE HOPITALIER DE MARNE LA VALLEE;770019032;CENTRE HOSPITALIER DE MARNE LA VALLEE;ST;2013
770700185;02;CENTRE HOSPITALIER DE MEAUX;770000446;C.H. DE MEAUX;ST;2013
770700185;02;CENTRE HOSPITALIER DE MEAUX;770814622;ANNEXE D'ORGEMONT MOYEN SEJOUR;ST;2013
770813418;06;ASSOCIATION PROVINOISE DE DIALYSE;770813426;UNITE D'AUTODIALYSE;ST;2013
770815777;06;S.A.S. ALFADIAL;770809028;UNITE D'AUTODIALYSE ALFADIAL;ST;2013
780001236;02;CHI POISSY ST-GERMAIN;780000311;C.H. INT. DE POISSY/ST GERMAIN EN LAYE;ST;2013
780001236;02;CHI POISSY ST-GERMAIN;780000337;CH INTERCOMMUNAL SITE DE ST-GERMAIN;ST;2013
780001509;06;DIALYVE;780001558;UNITE D'AUTODIALYSE DIALYVE;ST;2013
780002010;06;CTRE D'HEMODIALYSE DE MANTES-LA-JOLIE;780017802;CTRE D'HEMODIALYSE DE MANTES LA JOLIE;ST;2013
780002697;02;CH INTERCOMM MEULAN-LES MUREAUX;780000295;CHI DE MEULAN / LES MUREAUX;ST;2013
780002697;02;CH INTERCOMM MEULAN-LES MUREAUX;780000428;C.H.I. DE MEULAN (SITE DE BÈCHEVILLE);ST;2013
780002697;02;CH INTERCOMM MEULAN-LES MUREAUX;780822748;CENTRE LONG SEJOUR DU CH MEULAN;ST;2013
780021788;02;CENTRE HOSPITALIER DE LA MAULDRE;780000386;CH DE LA MAULDRE SITE SAINT LOUIS;ST;2013
780110011;02;CH FRANCOIS QUESNAY    MANTES LA JOLIE;780000287;C.H. FRANCOIS QUESNAY MANTES;ST;2013
780110037;02;HOP.GERONT.ET MED.SOC   PLAISIR;780000303;HÔP. GÉRONTOLOGIQUE & MED-SOC PLAISIR;ST;2013
780110052;02;CENTRE HOSPITALIER DE RAMBOUILLET;780000329;CENTRE HOSPITALIER DE RAMBOUILLET;ST;2013
780110078;02;CENTRE HOSPITALIER  DE VERSAILLES;780000345;CH DE VERSAILLES-HOPITAL RICHAUD;ST;2013
780110078;02;CENTRE HOSPITALIER  DE VERSAILLES;780800256;CH VERSAILLES ANDRE MIGNOT;ST;2013
780110094;02;HOPITAL DU VESINET;780000352;HOPITAL DU VESINET;ST;2013
780130019;02;CTRE DE GERONT. ET D'ACC. SPÉCIALISÉ;780000360;LONG SEJOUR DE L'HOPITAL GERONTOLOGIQUE DE CHEVREUSE;ST;2013
780130027;02;HOPITAL LOCAL DE HOUDAN;780000378;HOPITAL LOCAL DE HOUDAN;ST;2013
780140026;02;CENTRE HOSPITALIER SPÉCIALISÉ CHARCOT;780000402;CENTRE HOSPITALIER CHARCOT;ST;2013
780140059;02;CH THEOPHILE ROUSSEL;780000410;CENTRE HOSPITALIER TH. ROUSSEL;ST;2013
780140059;02;CH THEOPHILE ROUSSEL;920811635;CENTRE D'ACCUEIL ET DE SOINS (CAS);ST;2013
780530010;02;HOPITAL DE PEDIATRIE ET DE REEDUCATION;780001657;HOPITAL DE PEDIATRIE ET DE REEDUCATION DE BULLION;ST;2013
780822920;06;ASS DIALYSE A DOMICILE (ADDY);780001707;UNITE D'AUTODIALYSE LES TEMPLIERS;ST;2013
780822920;06;ASS DIALYSE A DOMICILE (ADDY);780808234;SERVICE DE DIALYSE A DOMICILE;ST;2013
780822920;06;ASS DIALYSE A DOMICILE (ADDY);780822631;CENTRE AUTODIALYSE DES ARCADES;ST;2013
780822920;06;ASS DIALYSE A DOMICILE (ADDY);780823134;UNITÉ D'AUTODIALYSE BEAUREGARD;ST;2013
780822920;06;ASS DIALYSE A DOMICILE (ADDY);780826152;UNITE .AUTODIAL.IMPRESSIONNISTES;ST;2013
790000012;02;CENTRE HOSPITALIER DE NIORT;790000087;CENTRE HOSPITAL. GEORGES RENON;ST;2013
790000012;02;CENTRE HOSPITALIER DE NIORT;790012355;UNITE INTERS. AUTIST. AD. VENISE VERTE;ST;2013
790000046;02;HOPITAL LOCAL DE SAINT-MAIXENT;790000111;CTRE HOSPITALER DE ST MAIXENT;ST;2013
790000061;02;HOPITAL LOCAL DE MELLE;790000137;CTRE HOSPITALIER DE MELLE;ST;2013
790000079;02;HOPITAL LOCAL DE MAULEON;790000145;CENTRE HOSPITALIER DE MAULEON;ST;2013
790006654;02;CTRE HOSPIT. NORD DEUX-SEVRES;790000095;SITE HOSPITALIER DE BRESSUIRE;ST;2013
790006654;02;CTRE HOSPIT. NORD DEUX-SEVRES;790000103;CTRE HOSPITALIER NORD DEUX-SEVRES;ST;2013
790006654;02;CTRE HOSPIT. NORD DEUX-SEVRES;790003537;SITE HOSPITALIER DE THOUARS;ST;2013
790006654;02;CTRE HOSPIT. NORD DEUX-SEVRES;790007694;PSY. ADULTES - HOP DE JOUR MALABRY;ST;2013
790006654;02;CTRE HOSPIT. NORD DEUX-SEVRES;790007884;USLD LES ORANGERS - CHNDS;ST;2013
790006654;02;CTRE HOSPIT. NORD DEUX-SEVRES;790009369;USLD LA MAISONNEE - CHNDS;ST;2013
800000028;02;CENTRE HOSPITALIER D'ABBEVILLE;800000143;CH ABBEVILLE;ST;2013
800000028;02;CENTRE HOSPITALIER D'ABBEVILLE;800006231;CENTRE DE GÉRONTOLOGIE CH ABBEVILLE;ST;2013
800000028;02;CENTRE HOSPITALIER D'ABBEVILLE;800015539;HAD CH ABBEVILLE;ST;2013
800000036;02;CENTRE HOSPITALIER D'ALBERT;800000184;CH ALBERT;ST;2013
800000036;02;CENTRE HOSPITALIER D'ALBERT;800015489;HAD CH ALBERT;ST;2013
800000044;02;CHU AMIENS;800000192;HOPITAL NORD CHU AMIENS;ST;2013
800000044;02;CHU AMIENS;800000614;CENTRE SAINT VICTOR CHU AMIENS;ST;2013
800000044;02;CHU AMIENS;800002610;CTRE DE GYNECO OBSTETRIQUE CHU AMIENS;ST;2013
800000044;02;CHU AMIENS;800006124;HOPITAL SUD CHU AMIENS;ST;2013
800000044;02;CHU AMIENS;800016735;CHU AMIENS SSP;ST;2013
800000051;02;CENTRE HOSPITALIER DE CORBIE;800000200;CH CORBIE;ST;2013
800000069;02;CENTRE HOSPITALIER DE DOULLENS;800000226;CH DOULLENS;ST;2013
800000077;02;CENTRE HOSPITALIER DE HAM;800000275;CH HAM;ST;2013
800000077;02;CENTRE HOSPITALIER DE HAM;800015588;HAD CH HAM;ST;2013
800000085;02;CH INTERCOMMUNAL MONTDIDIER-ROYE;800000390;CH CHIMR MONTDIDIER;ST;2013
800000085;02;CH INTERCOMMUNAL MONTDIDIER-ROYE;800000440;CH CHIMR ROYE;ST;2013
800000085;02;CH INTERCOMMUNAL MONTDIDIER-ROYE;800009417;USLD CHIMR ROYE;ST;2013
800000085;02;CH INTERCOMMUNAL MONTDIDIER-ROYE;800016776;HAD CHIMR MONTDIDIER;ST;2013
800000093;02;CENTRE HOSPITALIER DE PÉRONNE;800000432;CH PÉRONNE;ST;2013
800000093;02;CENTRE HOSPITALIER DE PÉRONNE;800004111;CENTRE HENRY EY CH PERONNE;ST;2013
800000093;02;CENTRE HOSPITALIER DE PÉRONNE;800004152;CENTRE DE MOYEN SEJOUR CH PERONNE;ST;2013
800000093;02;CENTRE HOSPITALIER DE PÉRONNE;800015448;HAD CH PÉRONNE;ST;2013
800000119;02;CHS PHILIPPE PINEL;800000457;CENTRE HOSPITALIER SPECIALISE P PINEL;ST;2013
800000127;02;HÔPITAL LOCAL DE RUE;800000481;USLD HL RUE;ST;2013
800000135;02;HÔPITAL LOCAL DE ST-VALÉRY-SUR-SOMME;800000507;CENTRE HOSPITALIER SAINT-VALERY-SUR-SOMME;ST;2013
800010621;08;CTRE TRAITEMENT HAUTES ENERGIES;800010639;SCP DES DRS DUBE, PANIS ET GOZY;ST;2013
810000331;02;CENTRE HOSPITALIER D'ALBI;810000505;CENTRE HOSPITALIER D'ALBI;ST;2013
810000349;02;CENTRE HOSPITALIER DE GAILLAC;810000513;CENTRE HOSPITALIER DE GAILLAC;ST;2013
810000380;02;HOPITAL DU PAYS D'AUTAN;810000521;HOP DU PAYS D'AUTAN SITE DU CAUSSE;ST;2013
810000380;02;HOPITAL DU PAYS D'AUTAN;810000547;HOP PAYS D'AUTAN SITE MAZAMET;ST;2013
810000380;02;HOPITAL DU PAYS D'AUTAN;810099838;MOYEN SEJOUR HOP DES MONGES CH CASTRES;ST;2013
810000380;02;HOPITAL DU PAYS D'AUTAN;810100370;UNITE SOINS LONGUE DUREE CH MAZAMET;ST;2013
810000398;02;CENTRE HOSPITALIER DE GRAULHET;810000539;CENTRE HOSPITALIER DE GRAULHET;ST;2013
810000455;02;CENTRE HOSPITALIER DE LAVAUR;810000562;CENTRE HOSPITALIER DE LAVAUR;ST;2013
810000471;06;SA CLINIQUE CLAUDE BERNARD;810008698;ANTENNE D'AUTODIALYSE CLAUDE BERNARD;ST;2013
810000471;06;SA CLINIQUE CLAUDE BERNARD;810101741;ANTENNE D'AUTODIALYSE CASTRES;ST;2013
810000471;06;SA CLINIQUE CLAUDE BERNARD;810101758;ANTENNE D'AUTODIALYSE GRAULHET;ST;2013
810000471;06;SA CLINIQUE CLAUDE BERNARD;810102947;ANTENNE D'AUTODIALYSE LESCURE;ST;2013
820000016;02;CENTRE HOSPITALIER DE MONTAUBAN;820000032;CENTRE HOSPITALIER MONTAUBAN;ST;2013
820000016;02;CENTRE HOSPITALIER DE MONTAUBAN;820004067;PSYCHIATRIE III CAPOU CH MONTAUBAN;ST;2013
820000131;06;SA CLINIQUE PONT DE CHAUME;820001550;ANTENNE D'AUTODIAL MONTAUBAN NORD;ST;2013
820000131;06;SA CLINIQUE PONT DE CHAUME;820005791;ANTENNE D'AUTODIALYSE CASTELSARRASIN;ST;2013
820000131;06;SA CLINIQUE PONT DE CHAUME;820007920;ANTENNE AUTODIALYSE MONTAUBAN SUD;ST;2013
820000206;02;C.H. (EX H.L.)  DE NEGREPELISSE;820000420;C. H. -TURENNE- DE NEGREPELISSE (EX H.L.);ST;2013
820000214;02;C.H.(EX H.L.) DE CAUSSADE;820000438;UNITE SOINS LONGUE DUREE CH EX HLCAUSSADE;ST;2013
820000248;02;C.H. (EX H.L.) DES DEUX RIVES;820000461;C.H. (EX H.L.) DES DEUX RIVES;ST;2013
820004950;02;CH INTERCOMMUN CASTELSARRASIN-MOISSAC;820000198;CH CASTELSARRASIN;ST;2013
820004950;02;CH INTERCOMMUN CASTELSARRASIN-MOISSAC;820000883;CENTRE HOSPITALIER MOISSAC;ST;2013
830002119;06;AVODD;830012548;CENTRE D'HEMODIALYSE DE L'AVODD;ST;2013
830002119;06;AVODD;830013819;AVODD UDM TOULON;ST;2013
830002119;06;AVODD;830017505;CENTRE DE DIALYSE DE L'AVODD;ST;2013
830002119;06;AVODD;830208351;AUTODIALYSE FREJUS;ST;2013
830002119;06;AVODD;830210977;AUTODIALYSE AVODD CH HAMBURGER HYERES;ST;2013
830002119;06;AVODD;830213617;AUTODIALYSE BRIGNOLES;ST;2013
830003521;06;SAS CENTRE DE DIALYSE SERENA;830215687;CENTRE DE DIALYSE SERENA;ST;2013
830003695;06;ASSOCIATION DE DIALYSE VAROISE;830012589;ADIVA DIALYSE LA SEYNE;ST;2013
830003695;06;ASSOCIATION DE DIALYSE VAROISE;830015970;ADIVA DIALYSE GASSIN;ST;2013
830003695;06;ASSOCIATION DE DIALYSE VAROISE;830016671;ADIVA DIALYSE SAINT-JEAN;ST;2013
830003695;06;ASSOCIATION DE DIALYSE VAROISE;830216495;ADIVA DIALYSE A DOMICILE;ST;2013
830008819;02;HOPITAL LOCAL DEPTAL DU VAR AU LUC;830206983;HOPITAL LOCAL DPTAL DU VAR AU LUC;ST;2013
830008819;02;HOPITAL LOCAL DEPTAL DU VAR AU LUC;830212734;HOPITAL DEPARTEMENTAL DU LUC USLD;ST;2013
830012639;06;SAS CENTRE DE NEPHROLOGIE LES FLEURS;830012688;CENTRE DE NEPHROLOGIE LES FLEURS;ST;2013
830100517;02;CH JEAN MARCEL DE BRIGNOLES;830000279;CH JEAN MARCEL DE BRIGNOLES;ST;2013
830100517;02;CH JEAN MARCEL DE BRIGNOLES;830206298;CH MOYEN SEJOUR LA SOURCE DE BRIGNOLES;ST;2013
830100525;02;CH DE LA DRACENIE DE DRAGUIGNAN;830000287;CH LA DRACENIE DE DRAGUIGNAN;ST;2013
830100525;02;CH DE LA DRACENIE DE DRAGUIGNAN;830213989;CH DRAGUIGNAN USLD;ST;2013
830100533;02;CH DE HYERES MARIE JOSEE TREFFOT;830000295;CH DE HYERES MARIE JOSEE TREFFOT;ST;2013
830100566;02;CHI DE FREJUS SAINT RAPHAEL;830000311;CHI DE FREJUS SAINT RAPHAEL;ST;2013
830100566;02;CHI DE FREJUS SAINT RAPHAEL;830009528;CHI FREJUS ST RAPAHEL HJ CTRE GERONTO;ST;2013
830100566;02;CHI DE FREJUS SAINT RAPHAEL;830213880;CHI FREJUS SAINT RAPHAEL USLD SSR;ST;2013
830100590;02;CENTRE HOSPITALIER DE SAINT TROPEZ;830000337;CENTRE HOSPITALIER DE SAINT TROPEZ;ST;2013
830100616;02;CHI TOULON LA SEYNE SUR MER;830000345;CHITS CH SAINTE MUSSE;ST;2013
830100616;02;CHI TOULON LA SEYNE SUR MER;830100608;CHITS CH GEORGE SAND LA SEYNE SUR MER;ST;2013
